#NSGA2
popsize 100
maxGen 100
numVar 13
numObj 3
numCons 0
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 100
currentGen	1
evaluateCount	100
totalTime	11.0981
firstFrontCount	20
frontCount	9
avgEvalTime	0.110605
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Var11	Var12	Var13	Obj1	Obj2	Obj3	
0.986887	0.83599	0.352464	0.458239	0.75636	0.627921	0.512573	0.687467	0.0036375	0.262188	0.187935	0.576536	0.838433	-0.512481	0.293131	8	
0.158604	0.0423889	0.446765	0.834193	0.688461	0.0666381	0.678466	0.952292	0.808012	0.837171	0.887756	0.0981441	0.27102	-0.454815	0.323677	7	
0.524201	0.0710767	0.485143	0.763687	0.473338	0.694465	0.745638	0.606322	0.370466	0.768296	0.402919	0.38134	0.329105	-0.226467	0.138569	6	
0.591625	0.629731	0.859236	0.530381	0.641088	0.501972	0.875578	0.167527	0.33612	0.0974112	0.346006	0.657338	0.218573	-0.423555	0.233432	8	
0.236937	0.462973	0.778277	0.44802	0.844318	0.179215	0.803352	0.865733	0.997123	0.588156	0.844962	0.0580751	0.681449	-0.770789	0.55051	8	
0.941087	0.581321	0.172119	0.0560121	0.698618	0.566421	0.782045	0.678119	0.717004	0.494468	0.71981	0.414433	0.104555	-0.412683	0.255903	8	
0.514589	0.857372	0.236904	0.327694	0.0921573	0.0108141	0.167966	0.580924	0.366574	0.856707	0.6577	0.876999	0.433399	-0.487933	0.273494	6	
0.103479	0.755633	0.152268	0.902214	0.421325	0.131693	0.175426	0.967278	0.279282	0.150635	0.553199	0.922926	0.633147	-0.571719	0.221531	6	
0.571542	0.769851	0.264381	0.270102	0.573239	0.646254	0.958315	0.64039	0.968275	0.812199	0.507159	0.459373	0.212831	-0.51269	0.40597	9	
0.389092	0.344627	0.24927	0.864269	0.627744	0.151035	0.177416	0.161104	0.504801	0.152139	0.768045	0.189933	0.423997	-0.250057	0.0616108	4	
0.0703111	0.0948387	0.189322	0.554974	0.799776	0.338511	0.68299	0.877237	0.297093	0.22944	0.96443	0.785831	0.22829	-0.36971	0.158698	6	
0.808693	0.896341	0.17105	0.0472762	0.182839	0.0776221	0.504445	0.571311	0.762349	0.46594	0.527904	0.683094	0.341652	-0.536864	0.259359	7	
0.941544	0.796365	0.667377	0.635416	0.0386382	0.644274	0.390818	0.552172	0.433267	0.966524	0.287504	0.772708	0.859506	-0.742702	0.442784	9	
0.145213	0.942372	0.0600555	0.910351	0.481363	0.867439	0.637363	0.0639196	0.721767	0.241336	0.665125	0.00678721	0.197244	-0.320447	0.11286	6	
0.503859	0.673654	0.0339727	0.535482	0.554907	0.845659	0.600954	0.627747	0.186043	0.187675	0.0732424	0.453613	0.12107	-0.209557	0.174505	7	
